DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
GOALPARA,2.0,39.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,Peaceful Area
GODDA,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,Peaceful Area
GOLAGHAT,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Peaceful Area
GOMATI,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Peaceful Area
GONDA,43.0,91.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428,Peaceful Area
GONDIA,31.0,52.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,184,Peaceful Area
GOPALGANJ,12.0,10.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301,Peaceful Area
GRP,0.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Peaceful Area
GRP RAIPUR,2.0,7.0,9.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,52,Peaceful Area
GRP(RLY),8.0,17.0,89.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,156,Peaceful Area
GULBARGA,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,11,Peaceful Area
GUMALA,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,Peaceful Area
GUMLA,24.0,73.0,56.0,2.0,0.0,2.0,102.0,9.0,14.0,0.0,318,Peaceful Area
GUNTAKAL RLY.,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7,Peaceful Area
GUNTUR URBAN,6.0,41.0,44.0,0.0,0.0,12.0,2.0,0.0,0.0,1.0,127,Peaceful Area
GURDASPUR,14.0,48.0,64.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,144,Peaceful Area
GUWAHATI CITY,1.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,Peaceful Area
HAILAKANDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
HAMIRPUR,51.0,83.0,174.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,371,Peaceful Area
HAMREN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
HANDWARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
HARDA,9.0,82.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,154,Peaceful Area
HARDOI,62.0,116.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522,Peaceful Area
HARIDWAR,38.0,78.0,28.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,201,Peaceful Area
HASSAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Peaceful Area
HATHRAS,82.0,65.0,189.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,379,Peaceful Area
HAVERI,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,Peaceful Area
HAZARIBAGH,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,Peaceful Area
HIMATNAGAR,8.0,11.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,139,Peaceful Area
HINGOLI,45.0,52.0,35.0,1.0,6.0,48.0,0.0,0.0,0.0,0.0,219,Peaceful Area
HISAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
HISSAR,5.0,24.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,146,Peaceful Area
HOOGHLY,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11,Peaceful Area
HOSHANGABAD,26.0,169.0,77.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,611,Peaceful Area
HOSHIARPUR,15.0,113.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,267,Peaceful Area
HOWRAH,0.0,0.0,10.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,29,Peaceful Area
HOWRAH CITY,1.0,8.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91,Peaceful Area
HOWRAH G.R.P.,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,Peaceful Area
I.G.I.AIRPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
IDUKKI,41.0,131.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,247,Peaceful Area
IGI AIRPORT,2.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,17,Peaceful Area
IMPHAL EAST,8.0,17.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,Peaceful Area
IMPHAL WEST,1.0,23.0,146.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,180,Peaceful Area
IMPHAL(EAST),0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Peaceful Area
IMPHAL(WEST),1.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,Peaceful Area
INDORE RLY.,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9,Peaceful Area
J.P.NAGAR,64.0,98.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,Peaceful Area
JABALPUR RLY.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Peaceful Area
JAGATSINGHPUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
JAGRAON,1.0,22.0,15.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,46,Peaceful Area
JAINTIA HILLS,22.0,109.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,Peaceful Area
JAIPUR,21.0,70.0,67.0,0.0,0.0,55.0,1.0,1.0,0.0,1.0,220,Peaceful Area
JAIPUR EAST,11.0,62.0,182.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,275,Peaceful Area
JAIPUR NORTH,24.0,53.0,177.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,268,Peaceful Area
JAIPUR SOUTH,12.0,37.0,112.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,169,Peaceful Area
JAIPUR WEST,5.0,21.0,66.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,122,Peaceful Area
JAISALMER,6.0,4.0,13.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,29,Peaceful Area
JAJPUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
JALANDHAR,32.0,59.0,258.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,366,Peaceful Area
JALANDHAR RURAL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
JALAUN,60.0,48.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374,Peaceful Area
JALORE,10.0,47.0,109.0,0.0,0.0,45.0,0.0,0.0,0.0,1.0,212,Peaceful Area
JAMALPUR RLY.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
JAMMU,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
JAMNAGAR,58.0,30.0,25.0,0.0,0.0,21.0,41.0,0.0,0.0,11.0,204,Peaceful Area
JAMSHEDPUR,7.0,30.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,58,Peaceful Area
JAMSHEDPUR RLY.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
JAMTARA,1.0,7.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,45,Peaceful Area
JAMUI,23.0,13.0,64.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,156,Peaceful Area
JASHPUR,23.0,105.0,35.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,479,Peaceful Area
JAUNPUR,46.0,69.0,200.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,358,Peaceful Area
JEHANABAD,11.0,5.0,51.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,102,Peaceful Area
JHABUA,13.0,81.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351,Peaceful Area
JHAJJAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
JHALAWAR,23.0,140.0,194.0,3.0,0.0,33.0,1.0,0.0,0.0,0.0,397,Peaceful Area
JHANSI,61.0,83.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,346,Peaceful Area
JHARGRAM,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Peaceful Area
JHARSUGUDA,9.0,40.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,81,Peaceful Area
JHUNJHUNU,14.0,160.0,87.0,7.0,0.0,73.0,0.0,0.0,0.0,0.0,341,Peaceful Area
JIND,11.0,81.0,75.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,198,Peaceful Area
JODHPUR,9.0,10.0,42.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,83,Peaceful Area
JODHPUR CITY,3.0,23.0,94.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,167,Peaceful Area
JODHPUR EAST,1.0,3.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,13,Peaceful Area
JODHPUR RURAL,6.0,59.0,48.0,1.0,0.0,9.0,12.0,0.0,0.0,0.0,135,Peaceful Area
JODHPUR WEST,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,Peaceful Area
JORHAT,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Peaceful Area
K.G.F.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Peaceful Area
K/KUMEY,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Peaceful Area
KABIRDHAM,5.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,314,Peaceful Area
KAITHAL,3.0,7.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,39,Peaceful Area
KALAHANDI,1.0,186.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,Peaceful Area
KAMENG EAST,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Peaceful Area
KAMENG WEST,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
KAMRUP,2.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,Peaceful Area
KANCHEEPURAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
KANCHIPURAM,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,Peaceful Area
KANDHAMAL,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Peaceful Area
KANGRA,11.0,91.0,152.0,12.0,0.0,20.0,0.0,0.0,0.0,1.0,349,Peaceful Area
KANKER,4.0,25.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,56,Peaceful Area
KANNAUJ,71.0,45.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337,Peaceful Area
KANNUR,35.0,97.0,27.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,311,Peaceful Area
KANPUR DEHAT,25.0,49.0,144.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,266,Peaceful Area
KANSHIRAM NAGAR,33.0,43.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,Peaceful Area
KANYAKUMARI,8.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,Peaceful Area
KAPURTHALA,27.0,40.0,76.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,155,Peaceful Area
KARAIKAL,1.0,7.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23,Peaceful Area
KARAULI,19.0,74.0,119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,213,Peaceful Area
KARBI ANGLONG,2.0,5.0,38.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,81,Peaceful Area
KARGIL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
KARIMGANJ,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Peaceful Area
KARUR,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27,Peaceful Area
KASARGOD,28.0,137.0,24.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,527,Peaceful Area
KATHUA,0.0,41.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,Peaceful Area
KATIHAR,25.0,34.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318,Peaceful Area
KATIHAR RLY.,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Peaceful Area
KAUSHAMBI,59.0,90.0,101.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,318,Peaceful Area
KAWARDHA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Peaceful Area
KENDRAPARA,4.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,Peaceful Area
KEONJHAR,5.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,Peaceful Area
KHAGARIA,29.0,21.0,121.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,185,Peaceful Area
KHANNA,7.0,20.0,43.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,78,Peaceful Area
KHARAGPUR G.R.P.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
KHARGON,13.0,153.0,39.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,409,Peaceful Area
KHASI HILLS EAST,21.0,159.0,46.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,257,Peaceful Area
KHASI HILLS WEST,8.0,92.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,Peaceful Area
KHEDA NORTH,17.0,23.0,233.0,0.0,0.0,89.0,0.0,0.0,0.0,1.0,364,Peaceful Area
KHIRI,26.0,166.0,305.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,549,Peaceful Area
KHOWAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
KHUNTI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
KHURDA,0.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,Peaceful Area
KINNAUR,1.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,Peaceful Area
KIPHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
KISHANGANJ,12.0,10.0,86.0,1.0,0.0,0.0,14.0,0.0,1.0,1.0,126,Peaceful Area
KISHTWAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
KODAGU,9.0,47.0,15.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,158,Peaceful Area
KODERMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
KOHIMA,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,Peaceful Area
KOKRAJHAR,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,Peaceful Area
KOLAR,2.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,44,Peaceful Area
KOLASIB,2.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Peaceful Area
KOLLAM,48.0,224.0,121.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,606,Peaceful Area
KOLLAM COMMR.,2.0,56.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,145,Peaceful Area
KOLLAM RURAL,14.0,51.0,17.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,147,Peaceful Area
KONDAGAON,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Peaceful Area
KOPPAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,Peaceful Area
KORAPUT,2.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,Peaceful Area
KORBA,18.0,111.0,19.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,334,Peaceful Area
KORIYA,23.0,286.0,61.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,604,Peaceful Area
KOTA,8.0,8.0,25.0,6.0,0.0,34.0,0.0,0.0,0.0,0.0,81,Peaceful Area
KOTA CITY,39.0,47.0,21.0,4.0,0.0,41.0,17.0,0.0,0.0,0.0,169,Peaceful Area
KOTA RURAL,6.0,47.0,23.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,83,Peaceful Area
KOTTAYAM,25.0,136.0,48.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,336,Peaceful Area
KOZHIKODE,14.0,11.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,47,Peaceful Area
KOZHIKODE COMMR.,12.0,57.0,17.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,248,Peaceful Area
KOZHIKODE RURAL,25.0,102.0,27.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,327,Peaceful Area
KRISHNAGIRI,25.0,52.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,213,Peaceful Area
KULGAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
KULLU,6.0,120.0,81.0,0.0,2.0,8.0,0.0,0.0,0.0,3.0,275,Peaceful Area
KUPWARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
KURUKSHETRA,12.0,37.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,93,Peaceful Area
KUSHI NAGAR,46.0,78.0,184.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,379,Peaceful Area
KUTCH,29.0,30.0,172.0,0.0,0.0,61.0,0.0,0.0,0.0,7.0,324,Peaceful Area
KUTCH (EAST(G)),2.0,7.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27,Peaceful Area
KUTCH (WEST-BHUJ),3.0,4.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18,Peaceful Area
LAHAUL-SPITI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Peaceful Area
LAKHIMPUR,0.0,34.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,Peaceful Area
LAKHISARAI,38.0,27.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,Peaceful Area
LAKSHADWEEP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
LALITPUR,18.0,46.0,54.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,181,Peaceful Area
LATEHAR,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Peaceful Area
LATUR,17.0,31.0,30.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,127,Peaceful Area
LAWNGTLAI,7.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,Peaceful Area
LEH,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
LOHARDAGGA,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Peaceful Area
LOHIT,0.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Peaceful Area
LONGLENG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
LUDHIANA RURAL,2.0,14.0,38.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,66,Peaceful Area
LUNGLEI,4.0,49.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,Peaceful Area
MADHEPURA,16.0,2.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,Peaceful Area
MADHUBANI,13.0,17.0,321.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,356,Peaceful Area
MADURAI RURAL,26.0,27.0,4.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,97,Peaceful Area
MADURAI URBAN,29.0,17.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,Peaceful Area
MAHARAJGANJ,41.0,112.0,240.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,433,Peaceful Area
MAHASAMUND,17.0,145.0,98.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,415,Peaceful Area
MAHENDERGARH,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Peaceful Area
MAHENDRAGARH,12.0,20.0,7.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,50,Peaceful Area
MAHOBA,15.0,41.0,59.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,150,Peaceful Area
MAJITHA,9.0,22.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,71,Peaceful Area
MALAPPURAM,42.0,125.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,394,Peaceful Area
MALDA,0.0,0.0,146.0,0.0,0.0,0.0,16.0,0.0,13.0,16.0,237,Peaceful Area
MALKANGIR,3.0,6.0,14.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,33,Peaceful Area
MAMIT,4.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,Peaceful Area
MANDI,5.0,68.0,50.0,2.0,0.0,15.0,5.0,0.0,0.0,2.0,216,Peaceful Area
MANDSAUR,21.0,208.0,104.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,503,Peaceful Area
MANDYA,10.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,117,Peaceful Area
MANGALORE CITY,1.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Peaceful Area
MANSA,12.0,78.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,146,Peaceful Area
MAU,41.0,62.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,320,Peaceful Area
MAYURBHANJ,12.0,39.0,21.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,168,Peaceful Area
MEHSANA,15.0,10.0,52.0,0.0,0.0,20.0,12.0,0.0,0.0,1.0,283,Peaceful Area
MEWAT,18.0,87.0,61.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,190,Peaceful Area
MIDNAPUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
MIRZAPUR,32.0,58.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,204,Peaceful Area
MOGA,7.0,14.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Peaceful Area
MOKOKCHUNG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
MON,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
MORENA,30.0,79.0,73.0,1.0,0.0,75.0,0.0,0.0,1.0,4.0,406,Peaceful Area
MORIGAON,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,Peaceful Area
MOTIHARI,24.0,20.0,352.0,0.0,0.0,0.0,28.0,0.0,1.0,2.0,427,Peaceful Area
MUKTSAR,13.0,41.0,61.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,128,Peaceful Area
MUMBAI RLY.,12.0,19.0,36.0,1.0,1.0,109.0,0.0,1.0,0.0,0.0,189,Peaceful Area
MUNGELI,0.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Peaceful Area
MUNGER,21.0,5.0,139.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,173,Peaceful Area
MUZAFFARPUR RLY.,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Peaceful Area
MYSORE COMMR.,8.0,67.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124,Peaceful Area
MYSORE RURAL,54.0,54.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,117,Peaceful Area
N.C. HILLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
N.C.HILLS,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
NADIA,1.0,22.0,30.0,0.0,0.0,0.0,14.0,1.0,21.0,5.0,94,Peaceful Area
NAGAON,6.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284,Peaceful Area
NAGAPATTINAM,9.0,31.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202,Peaceful Area
NAGAUR,14.0,103.0,136.0,2.0,0.0,9.0,0.0,0.0,0.0,1.0,284,Peaceful Area
